matriz_unificada1	matriz_unificada2	matriz_unificada3	matriz_unificada4	matriz_unificada5	matriz_unificada6	matriz_unificada7	matriz_unificada8	matriz_unificada9	matriz_unificada10	matriz_unificada11	matriz_unificada12	matriz_unificada13	matriz_unificada14	matriz_unificada15	matriz_unificada16	matriz_unificada17	matriz_unificada18	matriz_unificada19	matriz_unificada20	matriz_unificada21
0	0	0	0	0	1	0	1	1	0	0	1	0	1	5	0	0	9	0	0	0
0	0	0	0	0	1	0	1	1	0	0	1	1	0	4	1	1	8	2	0.333333333333333	0.142857142857143
0	0	0	0	0	1	0	1	1	0	1	0	0	1	4	1	1	8	2	0.333333333333333	0.142857142857143
0	0	0	0	0	1	0	1	1	0	1	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
0	0	0	0	0	1	0	1	1	1	0	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
0	0	0	0	0	1	0	1	1	1	0	1	0	0	4	1	1	8	2	0.333333333333333	0.142857142857143
0	0	0	0	0	1	0	1	1	1	1	0	0	0	3	2	2	7	4	0.571428571428571	0.285714285714286
1	0	0	0	1	0	0	1	1	0	0	0	1	0	2	3	3	6	6	0.75	0.428571428571429
0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	4	4	5	8	0.888888888888889	0.571428571428571
0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	4	4	5	8	0.888888888888889	0.571428571428571
1	0	0	0	0	1	0	1	1	0	0	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
0	1	0	0	1	0	0	1	1	0	0	0	1	0	2	3	3	6	6	0.75	0.428571428571429
0	0	0	0	1	1	0	1	1	0	0	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
1	0	0	0	0	1	1	0	1	0	0	0	1	0	2	3	3	6	6	0.75	0.428571428571429
1	0	0	1	0	0	0	1	1	0	0	0	1	0	2	3	3	6	6	0.75	0.428571428571429
0	1	0	0	0	1	0	1	1	0	0	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	4	4	5	8	0.888888888888889	0.571428571428571
0	0	1	0	0	1	0	1	1	0	0	0	1	0	3	2	2	7	4	0.571428571428571	0.285714285714286
0	1	0	1	0	0	0	1	0	1	0	1	0	0	2	3	3	6	6	0.75	0.428571428571429
1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	4	4	5	8	0.888888888888889	0.571428571428571
